Real Madrid,real-madrid.svg
Liverpool,liverpool.png
Bayern Munich,bayern-munich.png
Juventus,juventus.png
Chelsea,chelsea.png
Borussia Dortmund,borussia-dortmund.png
Atletico Madrid,atletico-madrid.png
Arsenal,arsenal.png
Manchester City,manchester-city.png
Ajax,ajax.png
Roma,inter-milan.png
Borussia Monchengladbach,borussia-monchengladbach.png
Paris Saint-Germain,paris-saint-germain.png
Barcelona,barcelona.png
Inter Milan,inter-milan.png
Manchester United,manchester-united.png
AC Milan,ac-milan.png
Sevilla,sevilla.png
Tottenham Hotspur,tottenham-hotspur.webp
PSV Eindhoven,psv-eindhoven.png
Napoli,napoli.png
RB Leipzig,rb-leipzig.png
Roma,ac-roma.png
